1193k  113.26.65.168:8082
1173k  1.70.33.64:8085
1151k  113.26.65.168:8084
1140k  113.26.65.168:8083
1127k  1.70.33.64:8082
1060k  1.70.33.64:8083
1034k  113.26.166.90:8083
976k  113.26.166.90:8082
967k  223.11.157.81:7777
959k  1.70.33.64:8084
840k  110.178.52.91:8084
610k  110.179.80.155:8082
571k  110.178.52.91:8085
566k  110.179.80.66:8082
526k  110.179.80.66:8083
371k  110.178.52.75:8084
349k  1.70.35.197:8083
337k  110.178.52.75:8082
308k  110.178.52.75:8083
305k  110.178.52.91:8082
279k  1.70.34.19:8082
265k  110.178.52.75:8085
257k  1.70.35.197:8085
256k  1.70.34.19:8083
255k  1.70.34.19:8084
245k  110.178.52.91:8083
240k  110.178.52.111:8082
217k  110.178.52.111:8083
186k  1.70.35.197:8084
102k  110.178.52.111:8084
