1597k  125.125.180.16:8848
1594k  125.125.180.16:1720
1587k  125.125.180.16:58888
1586k  125.125.180.16:18083
1577k  125.125.180.16:9999
1575k  125.125.180.16:25005
1574k  125.125.180.16:7443
1567k  125.125.180.16:3095
1562k  125.125.180.16:44305
1543k  125.125.180.16:7000
1543k  125.125.180.16:3097
1537k  125.125.180.16:8888
1483k  125.125.180.16:1951
1440k  125.125.180.16:8889
1427k  125.125.180.16:9183
1417k  125.125.180.16:50060
1384k  125.125.180.16:49671
1317k  125.125.180.16:9162
1263k  115.198.117.218:9999
328k  36.25.100.192:9999
